id,name,description,content,organizer,document,apply_method,deliver_method,processing_period,remark
11,幸福保衛站,就讀、設籍於本市或在本市發生急難事由，致有飢餓求助需求之18歲以下高中職、國中小學生(含中輟生)及兒童，可至新北市境內四大超商7-11、全家、萊爾富、OK 或八方雲集取餐。,透過四大超商及八方雲集建立關懷據點，協助發生急難事由之學生課後飢餓求助,"主辦單位：教育局秘書室
承辦人員：何婉雁
聯絡電話：(02)29603456分機2828",無,於取餐之超商(7-11、全家、萊爾富、OK)或八方雲集填寫個人基本資料,提供新臺幣約80元主食餐點,全年受理,
12,生育獎勵金,"鼓勵本市市民生育意願，提升生育率，減緩少子化現象，並減輕家庭養育子女經濟負擔。
申請條件：
★於本市完成出生登記新生兒之母。
★新生兒之母或父其中一方，設籍並實際居住本市10個月以上（10個月計算方式：新生兒出生日期往前回推10個月），且申請時仍設籍本市者。
補充說明：
一、新生兒之母或父，應符合下列資格之一且申請時仍設籍本市者：(1)母或父之一方設籍並實際居住本市滿10個月以上。  (2)未婚婦女已設籍並實際居住本市滿10個月以上。  (3)未設籍本市之未婚婦女，新生兒經生父認領登記，且生父設籍符合第1款規定。
二、在國外出生之新生兒返國辦理初設戶籍，母或父符合前項規定者，亦得比照於規定期間內申請補助。
三、生育婦女如於產後死亡或行方不明或受監護宣告，得由其配偶、親屬或新生兒之實際撫養人申請。
補助內容：
每一胎新生兒發放生育獎勵金新臺幣2萬元。",每一胎新生兒發放生育獎勵金新臺幣2萬元。,新北市各戶政事務所,"一、申請人之國民身分證及印章(或簽名)、新生兒母親之存摺影本。
二、申請人無法親自辦理時，得委託他人攜帶申請人及受託人之國民身分證、印章及委託書辦理。
三、申請人應於新生兒出生之次日起60日內在本市戶政事務所辦妥出生登記後，於出生之次日起1年內申辦，逾期視為放棄。",戶政事務所臨櫃申辦,戶政事務所臨櫃辦理,9天,"1.新生兒之母親或父親均可為申請人。
2.新生兒之母或父戶籍，於本市各區間遷徙不影響申請資格，但遷出本市後又再遷入者，應重新計算設籍期間(設籍時間可參照https://www.ca.ntpc.gov.tw/home.jsp?id=3af0fb3ede4a9056相關附件)。"
13,新北市公立幼兒園(16時至18時)及非營利幼兒園(17時至19時)辦理課後留園服務,"就讀本市公立幼兒園或非營利幼兒園之:
1. 低收入戶
2. 中低收入戶、
3. 家戶年所得30萬以下之5足歲幼兒、
4. 經濟情況特殊幼兒(含身心障礙（含發展遲緩）幼兒、原住民族幼兒及特殊境遇家庭子女等)。","一、公立幼兒園及非營利幼兒園：平日(學期)最高補助新臺幣12,600元，實際收費金額未達12,600元，依實際收費金額補助之。
二、公立幼兒園：寒假每期、暑假每月最高補助新臺幣3,500元，實際收費金額未達3,500元，依實際收費金額補助之。","主辦單位:教育局幼兒教育科
承辦人員:林小姐(附設幼兒園、非營利幼兒園)、蕭先生(市立幼兒園)
聯絡電話:(02)29603456分機2758、2759","就讀本市公立幼兒園或非營利幼兒園且學齡滿2足歲至入國民小學幼生（含緩讀生）：
一、低收入戶：當年度低收入戶證明書影本。
二、中低收入家庭：當年度中低收入戶證明書影本。
三、經濟情況特殊幼兒：經本局校務行政系統專案核備(身心障礙（含發展遲緩）幼兒、原住民族幼兒及特殊境遇家庭子女)或本局當年度專案核定公文影本（由幼兒園認定幼生屬經濟弱勢且有協助之必要者，請幼兒園提報）。
四、年度家戶年所得新臺幣30萬元以下之5足歲幼兒（依教育部全國幼生管理系統比對資料為準）。但不包括家戶擁有第3筆以上不動產且其公告現值合計超過650萬元，或年利息所得在10萬元以上者。",向幼兒就讀之幼兒園提出申請。,學校轉發學生,,申請時間：分上下學期及寒暑假受理申請(受理申請日期依公告期程辦理)。
14,新北市國中七年級女生免費子宮頸癌疫苗接種,為了幫助青少女子能及早獲得保護力並遠離子宮頸癌的威脅，衛生福利部提供國中七年級女生免費接種子宮頸癌疫苗。,國中七年級女生免費子宮頸癌疫苗接種。符合資格對象請於收到通知單後，儘速把握機會向新北市各區衛生所、市立聯合醫院電話預約，並於截止日前接種。,"承辦人員：健康管理科 張小姐
連絡電話：(02)2257-7155分機1756",通知單、戶口名簿正本、健保卡,持證件至新北市各區衛生所、市立聯合醫院電話預約，並於截止日前接種。,無,接種期間,
15,新北市國小低收入戶學童就學補助,"為照顧弱勢學生就學，持有「政府單位」發給「低收入戶」證明文件之新北市公立國小學生，每生每學期補助新臺幣1,000元整。","本案每生每學期補助新臺幣1,000元整。","主辦單位：教育局國小教育科
承辦人員：吳宓檈
連絡電話：(02)2960-3456分機2618
EMAIL：AQ3122@ntpc.gov.tw
傳真：(02)29681340",學生免檢附低收入戶證明，由各校利用市府系統核實申請資格（若為「中低收入戶」證明文件則不符申請資格）。,每學年辦理二次，自教育局函知各校之申請日起十五日內，由學校提出申請，逾期概不受理。,學校轉發學生,1.第一學期：每年9月30日前申請，10月25日前審查，核准後12月15日前撥款。2.第二學期：每年3月15日前申請，4月10日前審查，核准後6月15日前撥款。,如學童持「中低收入戶」之證明文件，將不符本項補助條件。
16,服兵役役男貧困家屬生活扶助,"一、為照顧家庭生活困難之現役、傷殘之役男家屬及死亡役男遺族，俾使服兵役役男安心服役，凡徵集入營役男均應建立家況表，調查家況。經調查符合列級扶助者，依核列扶助等級口數發給一安家費及三節生活扶助金。二、為加強照顧服兵役役男貧困家屬，對於凡經市府核定列級生活扶助戶者，如因役男配偶生育、家屬死亡或遇有天災、人禍致生活發生困難者，分別發給生育補助費、喪葬補助費及急難慰問金。
申請條件：
1.役男須為應徵（召）集在營（勤）服義務役兵役。扶助對象包含現役役男家屬、傷殘役男家屬及死亡役男遺族。
2.家庭總收入分配家屬人數，每人每月未達內政部或直轄市政府所公布役男家屬戶籍所在地當年最低生活費，且家庭財產未逾一定金額者。
補助內容：
一、一次安家費：核定扶助後主動發放。
二、三節生活扶助金：核定扶助後，於春、端、秋節前主動發放。但役男係常備兵役軍事訓練者不發。
三、生育補助金：役男之配偶生育者，向區公所申請，核定扶助後主動發放。
四、喪葬補助金：役男之家屬死亡者，向區公所申請，核定扶助後主動發放。
五、急難慰助金：役男家屬遭遇天災、人禍，致生活發生困難者，向區公所申請，核定扶助後主動發放。
六、醫療費補助：役男之家屬就醫，持醫療費收據向區公所申請，核定後主動發放。
七、健保費補助：役男之家屬繳納健保費後，持健保費收據向區公所申請，核定後主動發放，但僅限甲級扶助戶可申請。","為加強照顧服兵役役男貧困家屬，對於凡經市府核定列級生活扶助戶者，如因役男配偶生育、家屬死亡或遇有天災、人禍致生活發生困難者，分別發給生育補助費、喪葬補助費及急難慰問金。
1.一次安家費：核定扶助後主動發放。
2.三節生活扶助金：核定扶助後，於春、端、秋節前主動發放。但役男係常備兵役軍事訓練者不發。
3.生育補助金：役男之配偶生育者，向區公所申請，核定扶助後主動發放。
4.喪葬補助金：役男之家屬死亡者，向區公所申請，核定扶助後主動發放。
5.急難慰助金：役男家屬遭遇天災、人禍，致生活發生困難者，向區公所申請，核定扶助後主動發放。
6.醫療費補助：役男之家屬就醫，持醫療費收據向區公所申請，核定後主動發放。
7.健保費補助：役男之家屬繳健保費，持健保費收據向區公所申請，核定後主動發放，但僅限甲級扶助戶可申請。",兵役勤管科,"一、薪資證明(有固定收入者)。
※在學證明(家屬年滿16歲日間部在學者)。
二、醫院診斷書(家屬患重病或殘廢無工作能力者)。
三、郵政存簿儲金簿帳號影本(受領家屬)。
四、離職證明(家屬原有工作收入，現已離職者)。
五、其他證明文件。",本人或家屬至各區公所役(民)政災防課申請。,直接交付。,10天,
17,獨居老人關懷服務,"1.電話問安
2.關懷訪視
3.代辦文書協助，洽辦福利事宜
4.協助申請緊急救援服務
5.餐飲服務
6.其他必要協助","1.電話問安。
2.關懷訪視。
3.協助申請緊急救援服務。
4.其他必要協助。","老人福利科
承辦人員：陳興燿
連絡電話：(02)2960-3456轉3760
傳真：(02)2965-0149",新北市獨居老人通報單。,臨櫃，電話，傳真，郵寄，線上申請,"其他方式
無",7天,繳付與否：免費申請
18,夜光天使點燈計畫,由學校認定低收入、單親、失親、隔代教養等經濟弱勢家庭，且下課後無人予以照顧之兒童。,免費扶助,"主辦單位：教育局國小教育科
承辦人員：陳思穎
聯絡電話：(02)29603456分機2745
傳真：02-2968-1340",學校詳述家庭背景與需迫切協助之說明,若學校有開班，可向就讀學校提出申請。,,,
19,弱勢家庭兒童臨時托育補助,"本計畫所稱之弱勢家庭兒童，係指設籍並實際居住本市未滿3歲(就托於公私立托嬰中心)及12歲以下(被送請領有居家式托育服務登記證書之托育人員照顧)之兒童，且符合以下資格之一者：
1.列冊低收入戶。
2.列冊中低收入戶。
3.父母雙方或一方為身心障礙者。
4.受托兒童本人或家中同住兄弟姐妹之一為身心障礙或發展遲緩者。
5.經本局列冊之高風險家庭、特殊境遇家庭或領有弱勢家庭兒童及少年緊急生活扶助之家庭。
6.其他經本局所屬各區域社會福利服務中心、新北市新住民家庭服務中心或接受本局方案委託之社會福利團體評估遇有困難需協助兒童臨托之家庭。","1.托嬰中心臨托：兒童送至托嬰中心托育，補助每名兒童每小時100元，如屬身心障礙或發展遲緩兒童每小時120元。
2.居家托育人員在宅臨托：12歲以下兒童在居家托育人員服務登記處所托育，補助每名兒童每小時100元，如屬身心障礙或發展遲緩兒童每小時120元。
3.居家托育人員到宅臨托：由居家托育人員到12歲以下兒童住所或其他指定住所服務，補助每名兒童每小時120元，如屬身心障礙或發展遲緩兒童每小時140元。
補助時數以每名兒童實際就托時數計算，不到半小時以半小時計，半小時以上未滿1小時者以1小時計，每月托嬰中心臨托、居家托育人員臨托合計最高補助40小時，每年合計最高補助240小時。
本補助不適用於居家托育人員照顧三親等內兒童，以及由居家式托育服務提供者登記及管理辦法規定之半日托育、日間托育、全日托育、延長托育、夜間托育。","主辦單位：新北市政府社會局兒童托育科 
承辦人員：謝姈芸 
連絡電話：本市境內1999、02-29603456轉3831","1.兒童之戶口名簿或戶籍謄本影本（如同意本局代為調查者免附）。
2.下列資格證明文件之一：
（1）低收入戶或中低收入戶證明影本。
（2）高風險家庭、特殊境遇家庭、弱勢兒童少年生活扶助或弱勢家庭兒童及少年緊急生活扶助之核定文件。
（3）身心障礙者證明(手冊)或醫院開立1年內發展遲緩證明影本。
（4）經本局所屬各區域社會福利服務中心、新北市新住民家庭服務中心或、新北市政府家庭暴力暨性侵害防治中心及接受本局方案委託之社會福利團體評估有臨托補助需求之轉介單。",向居家托育服務中心或托嬰中心提出申請,交付方式：金融機構轉帳,,
20,弱勢幼兒教育津貼,為減輕弱勢家庭經濟負擔，凡設籍本市幼兒(學齡於當年度9月1日為2歲以上4歲以下)且具低收入戶、弱勢兒少、特殊境遇家庭及寄養家庭之身分就讀本市立案幼兒園，即可申請教育津貼補助，協助弱勢幼兒就學。,"一、就讀本市私立幼兒園幼兒每學期最高補助9,000元。但每學期實際繳費金額未達9,000元，依實際繳費金額補助之。
二、補助期間之核定，依取得福利身分及實際就讀月數為核定補助期間。
三、學期中入園或中途離園之幼兒，依取得福利身分及實際就讀月數按比例補助或繳回。
四、補助有下列情形之一者，得依其性質補助差額或不予重複補助：
(一) 已領取身心障礙幼兒教育補助費或幼兒就讀幼兒園補助辦法第4條第1項第2款第2目補助者，補助其差額，並以不超過實際繳費金額為限。
(二) 已領取原住民子女學前教育補助或其他本府認定性質相同之補助者，不予重複補助。
(三) 幼兒就讀準公共、非營利幼兒園已免繳費用(政府全額補助)者，不得申請本案。","幼兒教育科
承辦人員：楊小姐
連絡電話：(02)29603456分機2797
傳真：(02)29529696","一、「__學年度第__學期「新北市政府辦理弱勢幼兒教育津貼」申請表」【（民）表一】。
二、__學年度第__學期「新北市政府辦理弱勢幼兒教育津貼」學費收據（家長繳費聯）黏貼用紙【（民）表二】。
三、新北市____學年度第___學期 弱勢幼兒教育津貼 補助幼生名冊【（民）表三】。
四、新北市私立   幼兒園收款收據【(民)表四】。",家長持相關證明文件(由本市市公所開立)向幼兒就讀之私立幼兒園(含準公共及非營利幼兒園)申請。,幼兒園依公告期程臨櫃送件教育局辦理。,,申請時間：第1學期每年9月1日至10月15日；第2學期每年3月1日至4月15日。
21,孕婦乙型鏈球菌篩檢,"補助孕婦乙型鏈球菌篩檢1次(妊娠35-37週)。 
1.設籍中華民國國籍孕婦。 
2.補助對象為外國籍或大陸地區人民尚未設籍者，以其中華民國國籍配偶之戶籍地為準，依本方案規定程序辦理。",補助孕婦乙型鏈球菌篩檢1次(妊娠35-37週),"承辦人員：健康管理科 楊小姐
聯絡電話：(02)2257-7155分機1760","1.本國籍孕婦：身份證明文件
2.健保卡尚未設籍之新移民孕婦者，其配偶為本國籍者為限:
    (1)戶口名簿正本
    (2)居留證或旅行證正本",本國籍孕婦免申請，尚未設籍之新移民孕婦者至戶籍所在地之鄉鎮市區衛生所提出申請,無,全年受理,
22,農漁民長者健康檢查,設籍本市年滿50歲，且為本市各農漁會正會員或實際從事農業之農保被保險人，得2年1次參加免費健康檢查，依排定時程受檢。,一般檢查、血液生化檢查、心血管檢查、肌耐力檢測、營養評估、肺功能檢查、電腦斷層、醫師理學檢查。,"農漁會輔導科
承辦人員：羅先生
連絡電話：(02)29603456 # 2916
傳真：(02)29675444",身分證(查驗後歸還)。,符合資格者，向戶籍所在地農漁會報名參加。,郵寄體檢報告,17天,辦理期程、檢查範圍及檢查醫院依本府公告為準
23,新北市政府補助垃圾清除處理費,於該年度9月30日前屬本府社會局核可之低收入戶、中低收入戶、中低收入老人、弱勢兒童及少年或符合身心障礙者生活補助者。,"1.補助本市專用垃圾袋抵價券。
2.依新北市補助垃圾清除處理費執行要點，補助金額以前一年度全市家戶平均每人每年專用垃圾袋購買金額為依據。","新北市政府環境保護局
承辦人員:韋淑華
連絡電話:(1).0800-085-350 (2).(02)2953-2111分機4063","身分證明文件(代領者攜帶受補助者身分證明文件)
一、 發放對象本人應攜帶物品: 
1. 個人身分證  
2.印章(本人可以現場簽名代替)
二、受委託代領人應攜帶物品: 
1.委託人及受託人身份證 
2.委託人及受託人印章(受託人印章可以現場簽名代替)
3.如委託代領者未成年，或因故無法取得身分證，則需攜帶戶口名簿等相關足以佐証身分之資料。",主動提供,主動通知符合資格者依通知之時間至指定地點領取。,110年尚未公告發放時間。,
