id,women,pregnancy,birth,care
87,TRUE,TRUE,TRUE,FALSE
88,TRUE,TRUE,TRUE,FALSE
89,TRUE,TRUE,TRUE,FALSE
90,TRUE,TRUE,TRUE,FALSE
91,TRUE,TRUE,TRUE,FALSE
92,TRUE,TRUE,TRUE,FALSE
93,TRUE,TRUE,TRUE,FALSE
94,TRUE,TRUE,TRUE,FALSE
95,TRUE,TRUE,TRUE,FALSE
96,TRUE,TRUE,TRUE,FALSE
97,TRUE,TRUE,TRUE,FALSE
98,TRUE,TRUE,TRUE,FALSE
99,TRUE,TRUE,TRUE,FALSE
100,TRUE,TRUE,TRUE,FALSE
101,TRUE,TRUE,TRUE,FALSE
102,FALSE,FALSE,FALSE,FALSE
103,FALSE,FALSE,FALSE,FALSE
104,TRUE,TRUE,FALSE,FALSE
105,FALSE,FALSE,FALSE,FALSE
106,FALSE,FALSE,FALSE,FALSE
107,FALSE,FALSE,FALSE,FALSE
108,FALSE,FALSE,FALSE,FALSE
109,FALSE,FALSE,FALSE,FALSE
110,FALSE,FALSE,FALSE,FALSE
111,FALSE,FALSE,FALSE,FALSE
112,FALSE,FALSE,FALSE,FALSE
113,FALSE,FALSE,FALSE,TRUE
114,FALSE,FALSE,FALSE,TRUE
115,FALSE,FALSE,FALSE,FALSE
116,FALSE,FALSE,FALSE,FALSE
117,FALSE,FALSE,FALSE,FALSE
118,FALSE,FALSE,FALSE,FALSE
119,FALSE,FALSE,FALSE,FALSE
120,FALSE,FALSE,FALSE,FALSE
121,FALSE,FALSE,FALSE,FALSE
122,FALSE,FALSE,FALSE,FALSE
123,FALSE,FALSE,FALSE,FALSE
124,FALSE,FALSE,FALSE,FALSE
125,FALSE,FALSE,FALSE,FALSE
126,FALSE,FALSE,FALSE,FALSE
127,TRUE,TRUE,TRUE,FALSE
128,FALSE,FALSE,FALSE,FALSE
129,FALSE,FALSE,FALSE,FALSE
130,FALSE,FALSE,FALSE,FALSE
131,FALSE,FALSE,FALSE,FALSE
132,TRUE,FALSE,FALSE,FALSE
133,FALSE,FALSE,FALSE,FALSE
134,FALSE,FALSE,FALSE,FALSE
135,FALSE,FALSE,FALSE,FALSE
136,FALSE,FALSE,FALSE,FALSE
137,FALSE,FALSE,FALSE,FALSE
138,FALSE,FALSE,FALSE,FALSE
139,FALSE,FALSE,FALSE,FALSE
140,FALSE,FALSE,FALSE,FALSE
141,FALSE,FALSE,FALSE,FALSE
142,FALSE,FALSE,FALSE,FALSE
143,FALSE,FALSE,FALSE,FALSE
144,FALSE,FALSE,FALSE,FALSE
145,FALSE,FALSE,FALSE,FALSE
146,FALSE,FALSE,FALSE,TRUE
147,FALSE,FALSE,FALSE,FALSE
148,FALSE,FALSE,FALSE,FALSE
149,FALSE,FALSE,FALSE,FALSE
150,FALSE,FALSE,FALSE,FALSE
151,FALSE,FALSE,FALSE,FALSE
152,FALSE,FALSE,FALSE,FALSE
153,FALSE,FALSE,FALSE,TRUE
154,FALSE,FALSE,FALSE,TRUE
155,FALSE,FALSE,FALSE,TRUE
156,FALSE,FALSE,FALSE,TRUE
157,FALSE,FALSE,FALSE,FALSE
158,FALSE,FALSE,FALSE,FALSE
159,FALSE,FALSE,FALSE,FALSE
160,FALSE,FALSE,FALSE,FALSE
161,FALSE,FALSE,FALSE,FALSE
162,FALSE,FALSE,FALSE,FALSE
163,FALSE,FALSE,FALSE,FALSE
164,FALSE,FALSE,FALSE,FALSE
165,FALSE,FALSE,FALSE,FALSE
166,FALSE,FALSE,FALSE,FALSE
167,FALSE,FALSE,FALSE,FALSE
168,FALSE,FALSE,FALSE,FALSE
169,FALSE,FALSE,FALSE,FALSE
170,FALSE,FALSE,FALSE,FALSE
171,FALSE,FALSE,FALSE,FALSE
172,FALSE,FALSE,FALSE,FALSE
173,FALSE,FALSE,FALSE,FALSE
174,FALSE,FALSE,FALSE,FALSE
175,FALSE,FALSE,FALSE,FALSE
176,FALSE,FALSE,FALSE,FALSE
177,FALSE,FALSE,FALSE,FALSE
